Year,Close SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Close RUSSELL2000,Close Oil,Close Gold,OPEN_CLOSE_CHANGE_%_SP500,OPEN_CLOSE_CHANGE_%_RUSSELL2000,OPEN_CLOSE_CHANGE_%_Gold,LOW_HIGH_CHANGE_%_SP500,LOW_HIGH_CHANGE_%_RUSSELL2000,LOW_HIGH_CHANGE_%_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change,VOLUME_CHANGE_%_RUSSELL2000,VOLUME_CHANGE_%_SP500
1987,7.2138192649949415,6.9201538461538465,5.833846153846154,4.298461538461539,115.3323076923077,125.30723067692308,17.881999999999998,473.0753846153846,0.11067815104229677,-0.003427417491777649,-0.00604180102437756,0.04191837741552647,0.024501200297013706,0.0,-0.008125000000000007,-0.0015624999999999944,-0.004687499999999997,0.009374999999999911,0.04556073077611579,0.06956957636993728
1988,7.429951846377677,7.5679766536964985,5.493385214007782,4.416731517509727,118.27626459143968,142.18435754863813,14.941789883268482,436.7060311284047,0.06960994239406851,0.0009446871790064453,-0.005979250514141898,0.020895697043805794,0.006415464186381866,0.0,0.0077431906614786,0.0019455252918287938,-0.0015564202334630364,0.01984435797665373,0.027236637371480174,0.04209713432487663
1989,8.580725609598852,9.220234375,5.257421875,4.514453125,123.9453125,166.5293748984375,18.25859375,381.071171875,0.056682958964412465,0.0006413595486075743,-0.006087383496421543,0.01792824541165342,0.005413858258777507,0.0,-0.001210937500000002,-0.0011718749999999993,0.0003906250000000021,0.021874999999999978,0.02374208431794506,0.05223051440588823
1990,8.65558034493651,8.100232558139535,5.616279069767442,5.017829457364341,130.66124031007752,150.25344955813955,23.701937984496126,383.75100775193795,0.023760807669098633,-0.0007987736716769936,-0.00805688054311333,0.02172215574459876,0.008201734962029295,0.0,-0.004418604651162789,0.003100775193798449,0.0034883720930232536,0.03062015503875966,0.018787174446896465,0.038738682044279577
1991,9.802418297603262,5.68739299610895,6.850583657587549,4.89455252918288,136.1762645914397,169.76260715953308,20.084591439688715,362.38182879377433,0.015876466571923428,0.0015583118535111426,-0.005628799084024003,0.021058262070514665,0.008170973100845063,0.0,-0.011206225680933851,-0.0031128404669260694,0.0038910505836575876,0.01556420233463035,0.026942630519410805,0.04326106617940007
1992,10.801761345145406,3.5209652509652507,7.490733590733591,3.650965250965251,140.3073359073359,199.37393825482627,19.300965250965252,344.01644787644784,0.0005757954593631058,0.00060185355530209,-0.0019792456981291787,0.019708757152574398,0.007222823880886632,0.0,-0.00583011583011583,-0.004247104247104249,0.00038610038610038816,0.01583011583011592,0.015448008224773097,0.031383951618730775
1993,12.18071401287622,3.0226953125,6.90546875,3.30625,144.485546875,237.196719046875,17.03921875,360.2809765625,0.00024207274442731677,0.0006910931854235956,0.000757586966304357,0.019867455442802873,0.00567717262765929,0.0,0.00015625000000000014,-0.0003906249999999986,-0.0035156250000000014,0.015625,0.016839813986269544,0.034199994538052954
1994,12.271178695839339,4.2038671875,6.098046875,2.8515625,148.23046875,252.44417949609374,15.8150390625,384.3011328125,-8.811783715456782e-05,8.91473343691548e-06,-5.607224188509305e-05,0.020400078390380494,0.0065862949433753955,0.0,0.0097265625,-0.0023437500000000003,-0.00390625,0.014843749999999933,0.019456264396643552,0.02952757526234139
1995,14.202381399567724,5.8361328125,5.591015625,2.991015625,152.38359375,282.5845312890625,17.0227734375,384.2571875,0.0010905057388037305,0.0010605782386900783,-2.3708118764021652e-05,0.019606861869330083,0.005852267782170487,0.0,0.0005859374999999979,0.0015624999999999997,0.0003906249999999986,0.014843750000000044,0.02133987310225903,0.04095183538768623
1996,16.93840172375331,5.3,5.4077519379844965,2.716666666666667,156.86085271317828,337.0000772131783,20.63906976744186,387.75988372093025,0.0005475625988122088,0.0006048242753454833,-0.00020765677190286597,0.021306706345473766,0.007016314778560519,0.0,-0.0012015503875968977,-0.0015503875968992246,-0.0007751937984496097,0.020155038759689877,0.04591573727327982,0.04183022561822127
